uid,follower_uid
0018aea92cb9,14e8e2dafa04
0018aea92cb9,31c9550eb69c
0018aea92cb9,57905164b3ef
0018aea92cb9,7b75ead58011
0018aea92cb9,b3e7ba45db4b
0018aea92cb9,bb865ce33598
0018aea92cb9,ebf5f683fe39
0018aea92cb9,fbf4ffa56ddf
0018aea92cb9,fe2e23fbeeb0
001e966c449d,58ed4c4feaa9
001e966c449d,9fc232eb088f
001e966c449d,cb3191235bbc
001e966c449d,ee0e4522e0d5
002648611edf,366936feeedc
002648611edf,828ad96b33a3
002648611edf,87b37ae50916
002648611edf,913f6c94a370
002648611edf,c525aac0e09b
002648611edf,cc062415df0a
002648611edf,d1350ad311d4
002648611edf,e57eae2fba51
002648611edf,fbf0da545a4a
0026570abe87,30081a05cf95
0026570abe87,59dadd8d1006
0026570abe87,62e2127aa6f5
0026570abe87,687740e7cc9f
0026570abe87,87d114ad1228
0026570abe87,914bdf8dd6b1
0026570abe87,9yTQTm
0026570abe87,e016c82efc5f
0026570abe87,fb07714eb22c
002df4e15207,1ea08475744c
002df4e15207,460059b22ad9
002df4e15207,5dbd54a8f319
002df4e15207,9a8fc99e40c6
002df4e15207,a6fc4411bde8
002df4e15207,b38722f98348
002df4e15207,c77abbcd46c4
002df4e15207,d90a408b96a6
002df4e15207,e6a1a5fb12ff
0046e637241e,1a7e63bd2221
0046e637241e,66fb3f75ab8f
0046e637241e,79af6b80b2d7
0046e637241e,7c5edf481a18
0046e637241e,cc23f22dfd93
00513e2fbbea,1d2aa29328e9
00513e2fbbea,289ed718b132
00513e2fbbea,42ec4d751806
00513e2fbbea,46db72fd6fd6
00513e2fbbea,5db31e51224e
00513e2fbbea,930a54d8b98d
00513e2fbbea,cbcb7c3f9b04
00513e2fbbea,f28dc0b6d9fa
00513e2fbbea,f68b0eb8cac9
005b9738a8f9,24f6450f09bb
005b9738a8f9,2d8a659dea3e
005b9738a8f9,33274dd23019
005b9738a8f9,79f717437765
005b9738a8f9,995f2f74d047
005b9738a8f9,9dc236f469ed
005b9738a8f9,a7a05717d711
005b9738a8f9,ea2bde9c7a1b
005b9738a8f9,f48075b622f4
005fbc2da072,130172aebf91
005fbc2da072,1c4c28436f51
005fbc2da072,23ce6dcbe5a8
005fbc2da072,32937ef77805
005fbc2da072,67fc8a4c6295
005fbc2da072,68ef7d326ed9
005fbc2da072,7657f704f432
005fbc2da072,c3e38026d490
005fbc2da072,da22d9482030
006314507e3d,49809d511563
006314507e3d,699792f60b61
006314507e3d,6c614c591fd4
006314507e3d,7ddc4360644d
006314507e3d,8261f0d867e7
006314507e3d,8c7097db64c8
006314507e3d,b37976d39584
00659bdf16c9,11f0c2d4c3aa
00659bdf16c9,229c2ec0c94c
00659bdf16c9,321cd4f61b05
00659bdf16c9,3a6908ddfb61
00659bdf16c9,c488073aaa85
00659bdf16c9,de672b03ada6
00659bdf16c9,e3a22bc5797e
00659bdf16c9,e5e1d28c52f8
00659bdf16c9,e9ac917a9fcc
00671ae24baf,17ef0ab223be
00671ae24baf,3045858f3a3b
00671ae24baf,33ca4a0a9bea
00671ae24baf,43a8e7982e75
00671ae24baf,4c318b649fdf
00671ae24baf,930670d44db4
00671ae24baf,aaf5fa715504
00671ae24baf,af7ee24a97b2
00671ae24baf,c6a5e8301d3b
0073a4d4399a,01142a597467
0073a4d4399a,0eaa28759730
0073a4d4399a,a630938bf861
007b83b7d38a,2b2830cdf97b
007b83b7d38a,353d5ef19770
007b83b7d38a,38789c1b8b89
007b83b7d38a,4.47E+17
007b83b7d38a,5a5cd3997080
007b83b7d38a,7d71aa5c1bb0
007b83b7d38a,ab0c43397773
007b83b7d38a,b49ff8307bb7
007b83b7d38a,d88b565e837a
007bd0b9b79f,194350946c21
007bd0b9b79f,3adfe01d0f92
007bd0b9b79f,8271d6b59fad
007bd0b9b79f,869b66f7da22
007bd0b9b79f,9e0365bbdd6a
007bd0b9b79f,ac0144642524
007bd0b9b79f,c0624469e61d
007bd0b9b79f,d175558ff21b
007bd0b9b79f,d762b7d76764
008e8cfff3b5,0ff992275938
008e8cfff3b5,1a679ec35137
008e8cfff3b5,2d0b4afd9687
008e8cfff3b5,5802640f9e37
008e8cfff3b5,6201c48ce99d
008e8cfff3b5,6d8138c44d1e
008e8cfff3b5,a056238d8ece
008e8cfff3b5,faa316b98579
008e8cfff3b5,fefe4763307a
009736ba9eaa,3efdb01b2795
009736ba9eaa,98458055e4ca
009736ba9eaa,9ac23b787cea
009736ba9eaa,9cec393a7ca6
009736ba9eaa,9d58ec935836
009736ba9eaa,a4b142f14f7e
009736ba9eaa,da978a4bdec2
009736ba9eaa,f0060786f6c0
009736ba9eaa,f74886663610
009941a54cf2,012dd5e57f75
009941a54cf2,12da52629c71
009941a54cf2,2589c0e52752
009941a54cf2,601af4f27c3f
009941a54cf2,741264d63e72
009941a54cf2,84cd16e8253f
009941a54cf2,c26a87347b56
009941a54cf2,e7403cea2fe7
009941a54cf2,fbe28879dae8
00ab1b2e40c7,302b5323466d
00ab1b2e40c7,364a40f2b654
00ab1b2e40c7,38fcf6ea1bdd
00ab1b2e40c7,48961cf95dd3
00ab1b2e40c7,646705645ea1
