uid,follower_uid
12532d36e4da,02e1d2ba8a95
12532d36e4da,99eb85474dc1
12532d36e4da,36cbb5302e5c
12532d36e4da,ee12362d828a
12532d36e4da,95809b42481b
12532d36e4da,29b0789e24a9
12532d36e4da,fa8699d8205d
12532d36e4da,ea6b850c130e
12532d36e4da,3aa8e54315ee
12532d36e4da,eb25a187a187
12532d36e4da,620bcd7cf19c
12532d36e4da,6219aeb29e17
12532d36e4da,b8dd653b9a4f
12532d36e4da,4a0a1c5e6a81
12532d36e4da,deae7a9e8b7b
12532d36e4da,5e11a5ba0970
12532d36e4da,9bac0416f849
12532d36e4da,22453b11da61
9b20c7d63b77,5a08560651e5
9b20c7d63b77,023d317d6844
9b20c7d63b77,de02af3c1c1b
9b20c7d63b77,be19a875b99f
9b20c7d63b77,1dbe35392705
9b20c7d63b77,c82612c015e5
9b20c7d63b77,eefc22646652
9b20c7d63b77,5f338bd9d260
9b20c7d63b77,28619d8c5f8e
9b20c7d63b77,02ed4d1d1382
9b20c7d63b77,b85dfe6e5865
9b20c7d63b77,47f8dc27750c
9b20c7d63b77,e923189cc35c
9b20c7d63b77,c064d226c4ff
9b20c7d63b77,16b5f6d6e2e6
9b20c7d63b77,f587d454d68b
9b20c7d63b77,b81711bf6607
9b20c7d63b77,85a032b7e75f
94bbc48171c7,0e2ec43cba2a
94bbc48171c7,7618ab4a30e4
94bbc48171c7,e5d785ffbb7f
94bbc48171c7,cf8cf8f7a589
94bbc48171c7,0d3f27b1481f
94bbc48171c7,3ca56ca9284b
94bbc48171c7,189fc567c595
94bbc48171c7,7b9b794de569
94bbc48171c7,b1e713e56ea6
94bbc48171c7,72ccfb87acda
94bbc48171c7,bd4190ab5938
94bbc48171c7,4cc7b1fe2a41
94bbc48171c7,2c6fc6c5e8b0
94bbc48171c7,f38ebd91f540
94bbc48171c7,ff0b58c2f17a
94bbc48171c7,7.49E+27
94bbc48171c7,2b4181fce5f2
94bbc48171c7,e2d74411a80f
181e7b1b1423,97afaa22fdf8
181e7b1b1423,c35153600475
181e7b1b1423,165c3ed4d6bd
181e7b1b1423,db58ebd9fbea
181e7b1b1423,603902dbf49e
181e7b1b1423,db4ff857bf99
181e7b1b1423,ef25c28477dc
181e7b1b1423,91ad6ecb0429
181e7b1b1423,4.22E+70
181e7b1b1423,1a0be70a356d
181e7b1b1423,cd11ce8d4263
8faa58cbfde1,9ab8d7b38c4e
8faa58cbfde1,29010e584814
8faa58cbfde1,76cefa4f996d
8faa58cbfde1,86b79c50cfb3
8faa58cbfde1,48599dc7ef1b
8faa58cbfde1,ccbca147f566
8faa58cbfde1,a3366569758d
8faa58cbfde1,763a79c78e6e
8faa58cbfde1,f6bd2daa7862
8faa58cbfde1,5e0cebc0b850
8faa58cbfde1,376f66025b6a
8faa58cbfde1,69ac59a3a1ee
8faa58cbfde1,94cca4d51264
8faa58cbfde1,669038a63f49
8faa58cbfde1,85d2e764ad5d
8faa58cbfde1,c47cdb110cd3
8faa58cbfde1,d82622642df3
8faa58cbfde1,06546a1a1f61
8530ab416e50,010274103202
8530ab416e50,7a3320a8e925
8530ab416e50,5634325704f5
8530ab416e50,33cf7a6620bd
8530ab416e50,7b67af2e61b3
8530ab416e50,8ad7903302b3
8530ab416e50,f8e9b1c246f1
8530ab416e50,8776bc99ada8
8530ab416e50,696dc6c6f01c
8530ab416e50,9316f4d3abde
8530ab416e50,8bf3df700282
8530ab416e50,0375c118a995
8530ab416e50,3aa78489ff3c
8530ab416e50,55cb0aa4f144
8530ab416e50,a416d71a912e
8530ab416e50,e298e3f1ca3b
8530ab416e50,3dd8a6a1358b
8530ab416e50,a6248417527b
36cbb5302e5c,e824a35abbc3
36cbb5302e5c,dbb7e701be01
ee12362d828a,50dde6597939
ee12362d828a,67bdbea52718
ee12362d828a,cd73ae789321
ee12362d828a,289eb1dfeac6
ee12362d828a,d86e103f65be
ee12362d828a,15714a2e7323
ee12362d828a,83f73b817bc0
ee12362d828a,36f04618f72e
ee12362d828a,599bcbf0439f
